title,dept,url
SLI Proposal Form,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Proposal-Form-.pdf
SLI Proforma for Revival with break more than 10 years,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Proforma-for-SLI-Revival-with-break-more-than-10-years-.pdf
SLI Loan Repayment Card Form 12,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Loan-Repayment-Card-Form-12.pdf
SLI Indemnity Bond for Duplicate Policy for the Use of Nominees Legal Heirs,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Indemnity-Bond-for-Duplicate-Policy-for-the-Use-of-Nominees-Legal-Heirs.pdf
SLI Indemnity Bond for Duplicate Policy for the Use of Insured,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Indemnity-Bond-for-Duplicate-Policy-for-the-Use-of-Insured.pdf
SLI Deduction Schedule,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Deduction-Schedule.pdf
SLI Claim Form,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Claim-Form.pdf
SLI Application Form for Loan,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-Form-for-Loan.pdf
SLI Application Form for Changing Nomination,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-Form-for-Changing-Nomination.pdf
GPAIS Nomination Form Form I,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Nomination-Form-Form-I.pdf
GPAIS Jeevanraksha Accident Claim Form,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/jeevanraksha-accident-claim-form.pdf
GPAIS Jeevan Raksha Natural Death Claim Form,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/jeevan_raksha_natuaral_death_claim_form.pdf
GPAIS Indemnity Bond,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/gpais-indemnity-bond.pdf
GPAIS Deduction Schedule Form II,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Deduction-Schedule-Form-II.pdf
GPAIS Claim Form,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/claim-form.pdf
GIS Request to Produce Application for Payment Form No 4 Death,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Request-to-Produce-Application-for-Payment-Form-No.-4-Death.pdf
GIS Register of Members Form No 8,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Register-of-Members-Form-No.-8.pdf
GIS Register for Watching the Recovery of Subscription towards GIS from members on LWA Suspension Deputation etc Form GIS E,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Register-for-Watching-the-Recovery-of-Subscription-towards-GIS-from-members-on-LWA-Suspension-Deputation-etc.-Form-GIS-E.pdf
GIS Payment Register for DDOs,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Payment-Register-for-DDOs.pdf
GIS Nomination Form for Unmarried Employees Form GIS 6,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Nomination-Form-for-Unmarried-Employees-Form-GIS-6.pdf
GIS Nomination Form for Married Employees Form GIS 7 (1),Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Nomination-Form-for-Married-Employees-Form-GIS-7%20(1).pdf
GIS Nomination Form for Married Employees Form GIS 7,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Nomination-Form-for-Married-Employees-Form-GIS-7.pdf
GIS Memorandum Form No 2 for Change in Group,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Memorandum-Form-No.-2-for-Change-in-Group.pdf
GIS Memorandum Form No 1 for New Members,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Memorandum-Form-No.-1-for-New-Members.pdf
GIS List of Members Joined in the Scheme Form GIS C,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/List-of-Members-Joined-in-the-Scheme-Form-GIS-C.pdf
GIS Indemnity Bond for Claim Settlement,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Indemnity-Bond-for-Claim-Settlement.pdf
GIS Claim Application Offline Proforma for Claim Settlement for Universities Public Sector Undertaking,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/GIS-Claim-ApplicationOffline-Proforma-for-Claim-Settlement-for-Universities-Public-Sector-Undertaking.pdf
GIS Deduction Statement of Self Drawing Officers Form GIS B1,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Deduction-Statement-of-Self-Drawing-Officers-Form-GIS-B1.pdf
GIS Deduction Statement of Non Gazzetted Officers Form GIS B,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Deduction-Statement-of-Non-Gazzetted-Officers-Form-GIS-B.pdf
GIS Application form for revival of Membership,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-form-for-revival-of-Membership.pdf
GIS Application Form Form GIS A,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-Form-Form-GIS-A.pdf
GIS Application for Payment Form No 5 Death,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-for-Payment-Form-No.-5-Death.pdf
GIS Application for Payment Form No 3 Retirement Resignation Dismissal,Kerala State Insurance Department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Application-for-Payment-Form-No.-3-Retirement-Resignation-Dismissal.pdf
ISM Inter Dist Transfer Application Form ISM,Indian system of medicine,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Inter%20Dist%20Transfer%20Application%20Form%20ISM.pdf
ISM CL CPL PH Application Form,Indian system of medicine,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/CL%20CPL%20PH%20Application%20Form.pdf
ISM Medicine Stock Certificate,Indian system of medicine,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Medicine%20Stock%20Certificate.pdf
ISM Audit Liability Statement Form for Medicine,Indian system of medicine,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Audit%20Liability%20Statement%20Form%20for%20Medicine.pdf
Leave Application Form No. 13,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Leave%20Application%20Form%20No.%2013.pdf
GPF Nomination New KS,Accountant general,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/GPF_Nomination_New_KS.pdf
GPF Closure descriptive roll form,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/GPF_Closure_discriptive_roll_form.pdf
RTC Form Report of transfer of charge,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/RTC_Form_Report_of_transfer_of_charge.pdf
Declaration Time Bound Higher Grade,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Declaration_Time_Bound_Higher_Grade.pdf
NPS admission form,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/NPS_admission_form.pdf
Medical Certificate,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Medical_Certificate.pdf
Medical Fitness Certificate,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Medical_Fitness_Certificate.pdf
NAM New attendance format,National Ayush Mission,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/NAM-New-attendance-format.pdf
NAM-New-attendance-format1,National Ayush Mission,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/NAM-New-attendance-format1.pdf
Form-9-(A)-cnt-transfer-amt,All department,https://raw.githubusercontent.com/sumteck/typeonpdf/main/pdfs/Form-9-(A)-cnt-transfer-amt.pdf
